Date,IWM,QQQ,SPY
2009-12-24,54.18973922729492,41.1768913269043,90.40426635742188
2009-12-28,54.10421371459961,41.39181137084961,90.59713745117188
2009-12-29,54.078548431396484,41.2216682434082,90.46852111816406
2009-12-30,54.04433059692383,41.3470458984375,90.43638610839844
2009-12-31,53.40290069580078,40.97090530395508,89.568359375
2010-01-04,54.720008850097656,41.57090377807617,91.08741760253906
2010-01-05,54.53183364868164,41.57090377807617,91.32855224609375
2010-01-06,54.48052978515625,41.32018280029297,91.39283752441406
2010-01-07,54.882511138916016,41.3470458984375,91.77867126464844
2010-01-08,55.181846618652344,41.687347412109375,92.08404541015625
2010-01-11,54.95948791503906,41.517189025878906,92.21267700195312
2010-01-12,54.36079406738281,40.99778366088867,91.3526611328125
2010-01-13,55.062103271484375,41.508216857910156,92.12422943115234
2010-01-14,55.26736831665039,41.5440559387207,92.37338256835938
2010-01-15,54.46341323852539,41.06045913696289,91.33659362792969
2010-01-19,55.464080810546875,41.723167419433594,92.47789001464844
2010-01-20,54.66013717651367,41.12315368652344,91.53752136230469
2010-01-21,53.76210021972656,40.738075256347656,89.77734375
2010-01-22,52.795658111572266,39.54701232910156,87.77604675292969
2010-01-25,52.85551071166992,39.68133544921875,88.22611236572266
2010-01-26,52.333805084228516,39.717166900634766,87.85638427734375
2010-01-27,52.88972854614258,40.030601501464844,88.27433776855469
2010-01-28,51.98314666748047,39.0007209777832,87.26165008544922
2010-01-29,51.41012191772461,38.32011795043945,86.313232421875
2010-02-01,52.01735305786133,38.74103927612305,87.65546417236328
2010-02-02,52.59039306640625,39.09028625488281,88.71639251708984
2010-02-03,52.23973083496094,39.30522155761719,88.27433776855469
2010-02-04,50.49497985839844,38.16786575317383,85.54967498779297
2010-02-05,50.691680908203125,38.49027633666992,85.72653198242188
2010-02-08,50.18708038330078,38.21266174316406,85.10763549804688
2010-02-09,50.87984848022461,38.60667419433594,86.17657470703125
2010-02-10,50.99959182739258,38.52608871459961,86.00782012939453
2010-02-11,51.81209182739258,39.108184814453125,86.90800476074219
2010-02-12,52.18841552734375,39.18880844116211,86.83563995361328
2010-02-16,53.0693359375,39.69029998779297,88.20203399658203
2010-02-17,53.42856216430664,39.914188385009766,88.61995697021484
2010-02-18,53.86471939086914,40.164920806884766,89.14238739013672
2010-02-19,53.933162689208984,40.14702224731445,89.32723999023438
2010-02-22,54.095664978027344,40.0664176940918,89.34333038330078
2010-02-23,53.46276092529297,39.54701232910156,88.25826263427734
2010-02-24,53.916053771972656,39.95000457763672,89.07003784179688
2010-02-25,53.933162689208984,39.941043853759766,88.94950103759766
2010-02-26,53.71078872680664,40.08432388305664,89.0057373046875
2010-03-01,54.95948791503906,40.66642761230469,89.9300537109375
2010-03-02,55.3785514831543,40.79182052612305,90.17921447753906
2010-03-03,55.69501495361328,40.836578369140625,90.25956726074219
